Feature,Importance
DC_POWER,0.9999994740171199
MODULE_TEMPERATURE,2.0247174662423495e-07
IRRADIATION,9.542661120957653e-08
AMBIENT_TEMPERATURE,7.852091026204535e-08
DAILY_YIELD,4.3775471499953376e-08
day,3.8646172240948854e-08
day_of_week,2.7331178357967944e-08
minute,1.828598492713701e-08
hour,1.6691101761912343e-08
month,4.833703341671249e-09
